,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Longitude,Latitude
0,ABW,North America,Aruba,9/28/2020,3844,12,41.857,25,0,0.28600000000000003,36003.971,112.395,392.046,234.157,0.0,2.676,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,106766,584.8,41.2,13.085,7.452000000000001,35973.781,0.0,0.0,11.62,0.0,0.0,0.0,0.0,76.29,0.0,-69.9618475,12.5013629
1,AFG,Asia,Afghanistan,9/28/2020,39227,0,26.143,1453,0,1.714,1007.672,0.0,0.672,37.325,0.0,0.044000000000000004,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,38928341,54.422,18.6,2.5810000000000004,1.337,1803.987,0.0,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.498,66.2385139,33.7680065
2,AGO,Africa,Angola,9/28/2020,4672,82,97.286,171,4,2.714,142.15200000000002,2.495,2.96,5.202999999999999,0.122,0.083,0,0,0.0,0.0,0,0.0,0.0,0.0,0,75.0,32866268,23.89,16.8,2.405,1.3619999999999999,5819.495,0.0,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581,17.5691241,-11.8775768
3,AIA,North America,Anguilla,9/28/2020,3,0,0.0,0,0,0.0,199.97299999999998,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,15002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0,-63.0750234,18.1954947
4,ALB,Europe,Albania,9/28/2020,13259,106,124.85700000000001,377,2,2.1430000000000002,4607.339,36.834,43.386,131.003,0.695,0.745,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2877800,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,0.0,2.89,78.57,0.785,19.9999619,41.000028
5,AND,Europe,Andorra,9/28/2020,1836,0,38.857,53,0,0.0,23762.376,0.0,502.907,685.951,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,77265,163.755,0.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.858,1.5732033,42.5407167
6,ARE,Asia,United Arab Emirates,9/28/2020,91469,851,936.143,412,1,1.143,9248.261,86.04299999999999,94.652,41.657,0.10099999999999999,0.11599999999999999,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,9890400,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,0.0,317.84,17.26,1.2,37.4,0.0,1.2,77.97,0.863,53.9994829,24.0002488
7,ARG,South America,Argentina,9/28/2020,711312,8841,12627.286,15749,206,405.714,15738.462,195.61599999999999,279.39099999999996,348.462,4.558,8.977,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.825,-64.9672817,-34.9964963
8,ARM,Asia,Armenia,9/28/2020,49400,328,281.286,951,3,3.0,16670.975,110.69,94.925,320.933,1.012,1.012,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2963234,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.755,44.6736646,40.7696272
9,ATG,North America,Antigua and Barbuda,9/28/2020,101,0,0.7140000000000001,3,0,0.0,1031.37,0.0,7.294,30.635,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,97928,231.845,32.1,6.933,4.631,21490.943,0.0,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.78,-61.9554608,17.2234721
10,AUS,Oceania,Australia,9/28/2020,27040,24,20.285999999999998,872,2,3.286,1060.397,0.941,0.7959999999999999,34.196,0.078,0.129,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,25499881,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,0.0,3.84,83.44,0.9390000000000001,134.755,-24.7761086
11,AUT,Europe,Austria,9/28/2020,43466,526,701.2860000000001,787,0,3.0,4826.124,58.403,77.865,87.382,0.0,0.33299999999999996,0,0,0.0,0.0,0,0.0,0.0,0.0,0,37.04,9006400,106.749,44.4,19.202,13.748,45436.685999999994,0.7,145.183,6.35,28.4,30.9,0.0,7.37,81.54,0.9079999999999999,13.199959,47.2000338
12,AZE,Asia,Azerbaijan,9/28/2020,40023,128,119.286,586,1,1.571,3947.363,12.624,11.765,57.79600000000001,0.099,0.155,0,0,0.0,0.0,0,0.0,0.0,0.0,0,70.37,10139175,119.309,32.4,6.018,3.8710000000000004,15847.419,0.0,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.757,47.7872508,40.3936294
13,BDI,Africa,Burundi,9/28/2020,485,0,1.714,1,0,0.0,40.788000000000004,0.0,0.14400000000000002,0.084,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11890781,423.06199999999995,17.5,2.562,1.504,702.225,71.7,293.068,6.05,0.0,0.0,6.144,0.8,61.58,0.41700000000000004,29.8870575,-3.3634357
14,BEL,Europe,Belgium,9/28/2020,114085,0,1249.143,9980,2,3.714,9843.726,0.0,107.781,861.1160000000001,0.17300000000000001,0.32,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11589616,375.564,41.8,18.570999999999998,12.849,42658.575999999994,0.2,114.898,4.29,25.1,31.4,0.0,5.64,81.63,0.9159999999999999,4.6667145,50.6402809
15,BEN,Africa,Benin,9/28/2020,2340,15,8.571,40,0,0.0,193.018,1.237,0.7070000000000001,3.299,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,12123198,99.11,18.8,3.2439999999999998,1.942,2064.236,49.6,235.84799999999998,0.99,0.6,12.3,11.035,0.5,61.77,0.515,2.2584408,9.5293472
16,BES,North America,Bonaire Sint Eustatius and Saba,9/28/2020,85,0,7.0,1,0,0.0,3241.677,0.0,266.962,38.137,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,26221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79,0.0,-63.143238651638256,17.566000000000003
17,BFA,Africa,Burkina Faso,9/28/2020,2008,35,23.143,56,0,0.0,96.061,1.6740000000000002,1.107,2.679,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,20903278,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423,-1.6880314,12.0753083
18,BGD,Asia,Bangladesh,9/28/2020,359148,1275,1461.714,5161,32,31.714000000000002,2180.76,7.742000000000001,8.876,31.338,0.19399999999999998,0.193,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,164689383,1265.036,27.5,5.098,3.262,3523.9840000000004,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608,90.2932426,24.4768783
19,BGR,Europe,Bulgaria,9/28/2020,20055,58,170.28599999999997,796,7,5.0,2886.257,8.347000000000001,24.506999999999998,114.55799999999999,1.0070000000000001,0.72,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.68800000000005,5.81,30.1,44.4,0.0,7.454,75.05,0.813,25.4856617,42.6073975
20,BHR,Asia,Bahrain,9/28/2020,68775,585,610.857,242,6,3.0,40418.246,343.798,358.99300000000005,142.221,3.5260000000000002,1.7630000000000001,9118,1407572,827.2130000000001,5.359,10614,6.2379999999999995,17.375999999999998,0.057999999999999996,units unclear,0.0,1701583,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,0.0,151.689,16.52,5.8,37.6,0.0,2.0,77.29,0.846,50.5344606,26.1551249
21,BHS,North America,Bahamas,9/28/2020,3790,0,60.0,87,0,1.857,9637.684000000001,0.0,152.575,221.234,0.0,4.723,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,393248,39.497,34.3,8.996,5.2,27717.847,0.0,235.954,13.17,3.1,20.4,0.0,2.9,73.92,0.807,-78.0000547,24.7736546
22,BIH,Europe,Bosnia and Herzegovina,9/28/2020,26917,122,213.28599999999997,810,2,7.571000000000001,8204.364,37.186,65.01,246.89,0.61,2.3080000000000003,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3280815,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.768,17.5961467,44.3053476
23,BLR,Europe,Belarus,9/28/2020,77609,320,276.42900000000003,818,5,5.428999999999999,8213.183,33.865,29.254,86.56700000000001,0.529,0.574,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,9449321,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,0.0,443.129,5.18,10.5,46.1,0.0,11.0,74.79,0.8079999999999999,27.6971358,53.4250605
24,BLZ,North America,Belize,9/28/2020,1854,29,32.429,24,0,0.429,4662.732,72.934,81.556,60.358999999999995,0.0,1.078,0,0,0.0,0.0,0,0.0,0.0,0.0,0,72.22,397621,16.426,25.0,3.853,2.279,7824.361999999999,0.0,176.957,17.11,0.0,0.0,90.083,1.3,74.62,0.708,-88.7600927,16.8259793
25,BMU,North America,Bermuda,9/28/2020,181,0,0.14300000000000002,9,0,0.0,2906.5570000000002,0.0,2.294,144.525,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,31.48,62273,1308.82,0.0,0.0,0.0,50669.315,0.0,139.547,13.0,0.0,0.0,0.0,0.0,82.59,0.0,-64.7603583,32.3018217
26,BOL,South America,Bolivia,9/28/2020,133901,309,460.714,7858,30,34.429,11470.973,26.471,39.468,673.176,2.57,2.949,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11673029,10.202,25.4,6.704,4.393,6885.829000000001,7.1,204.299,6.89,0.0,0.0,25.383000000000003,1.1,71.51,0.693,-64.9912286,-17.0568696
27,BRA,South America,Brazil,9/28/2020,4732309,14318,26811.429,141741,335,692.2860000000001,22263.465,67.36,126.13600000000001,666.83,1.5759999999999998,3.2569999999999997,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.96099999999998,8.11,10.1,17.9,0.0,2.2,75.88,0.759,-53.2,-10.3333333
28,BRB,North America,Barbados,9/28/2020,190,0,0.14300000000000002,7,0,0.0,661.166,0.0,0.49700000000000005,24.359,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,287371,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,0.0,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.8,-59.5250305,13.1500331
29,BRN,Asia,Brunei,9/28/2020,146,0,0.14300000000000002,3,0,0.0,333.727,0.0,0.327,6.857,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,437483,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,0.0,201.285,12.79,2.0,30.9,0.0,2.7,75.86,0.853,114.5653908,4.4137155
30,BTN,Asia,Bhutan,9/28/2020,273,2,1.714,0,0,0.0,353.805,2.592,2.222,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,771612,21.188000000000002,28.6,4.885,2.977,8708.597,1.5,217.06599999999997,9.75,0.0,0.0,79.807,1.7,71.78,0.612,90.5119273,27.549511
31,BWA,Africa,Botswana,9/28/2020,2921,0,50.571000000000005,16,0,0.429,1242.12,0.0,21.505,6.803999999999999,0.0,0.182,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2351625,4.044,25.8,3.9410000000000003,2.242,15807.374,0.0,237.372,4.81,5.7,34.4,0.0,1.8,69.59,0.7170000000000001,24.5928742,-23.1681782
32,CAF,Africa,Central African Republic,9/28/2020,4806,0,1.857,62,0,0.0,995.08,0.0,0.385,12.837,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4829764,7.479,18.3,3.655,2.251,661.24,0.0,435.727,6.1,0.0,0.0,16.602999999999998,1.0,53.28,0.36700000000000005,19.9981227,7.0323598
33,CAN,North America,Canada,9/28/2020,153125,1454,1353.714,9268,6,7.2860000000000005,4057.134,38.525,35.867,245.56099999999998,0.159,0.193,68251,7117709,188.588,1.808,71318,1.89,52.683,0.019,people tested,0.0,37742157,4.037,41.4,16.984,10.797,44017.59099999999,0.5,105.59899999999999,7.37,12.0,16.6,0.0,2.5,82.43,0.9259999999999999,-107.9917071,61.0666922
34,CHE,Europe,Switzerland,9/28/2020,51864,0,384.714,1778,0,2.0,5992.639,0.0,44.452,205.43900000000002,0.0,0.231,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8654618,214.243,43.1,18.436,12.644,57410.166,0.0,99.73899999999999,5.59,22.6,28.9,0.0,4.53,83.78,0.9440000000000001,8.2319736,46.7985624
35,CHL,South America,Chile,9/28/2020,457901,1922,1661.0,12641,50,50.714,23953.546000000002,100.54299999999999,86.89,661.2710000000001,2.616,2.653,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,19116209,24.281999999999996,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,0.0,2.11,80.18,0.843,-71.3187697,-31.7613365
36,CHN,Asia,China,9/28/2020,90483,27,16.285999999999998,4739,0,0.28600000000000003,62.865,0.019,0.011000000000000001,3.293,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1439323774,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,0.7,261.899,9.74,1.9,48.4,0.0,4.34,76.91,0.752,104.999927,35.000074
37,CIV,Africa,Cote d'Ivoire,9/28/2020,19629,29,44.143,120,0,0.0,744.135,1.099,1.673,4.5489999999999995,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,26378275,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,28.2,303.74,2.42,0.0,0.0,19.351,0.0,57.78,0.49200000000000005,-5.5679458,7.9897371
38,CMR,Africa,Cameroon,9/28/2020,20735,0,43.428999999999995,418,0,0.28600000000000003,781.1010000000001,0.0,1.636,15.745999999999999,0.0,0.011000000000000001,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.66099999999997,7.2,0.0,0.0,2.735,1.3,59.29,0.556,13.1535811,4.6125522
39,COD,Africa,Democratic Republic of Congo,9/28/2020,10611,19,13.857000000000001,270,0,0.0,118.477,0.212,0.155,3.015,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,89561404,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,0.0,0.0,4.4719999999999995,0.0,60.68,0.457,23.8222636,-2.9814344
40,COG,Africa,Congo,9/28/2020,5008,0,3.1430000000000002,89,0,0.0,907.56,0.0,0.57,16.129,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5518092,15.405,19.0,3.4019999999999997,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,0.0,64.57,0.606,15.6419155,-0.7264327
41,COL,South America,Colombia,9/28/2020,813056,7018,6854.286,25488,192,182.857,15978.968,137.925,134.707,500.915,3.773,3.594,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,50882884,44.223,32.2,7.646,4.312,13254.948999999999,4.5,124.24,7.44,4.7,13.5,65.38600000000001,1.71,77.29,0.747,-73.783892,2.8894434
42,COM,Africa,Comoros,9/28/2020,478,0,1.143,7,0,0.0,549.681,0.0,1.314,8.05,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.51599999999996,11.88,4.4,23.6,15.574000000000002,2.2,64.32,0.503,44.2832964,-12.2045176
43,CPV,Africa,Cape Verde,9/28/2020,5771,70,73.429,57,1,0.857,10379.72,125.902,132.069,102.52,1.7990000000000002,1.5419999999999998,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,555988,135.58,25.7,4.46,3.437,6222.554,0.0,182.21900000000002,2.42,2.1,16.5,0.0,2.1,72.98,0.654,-24.0083947,16.0000552
44,CRI,North America,Costa Rica,9/28/2020,72049,0,1191.0,828,0,17.429000000000002,14143.578000000001,0.0,233.799,162.541,0.0,3.4210000000000003,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.97299999999998,8.78,6.4,17.4,83.84100000000001,1.13,80.28,0.794,-84.0739102,10.2735633
45,CUB,North America,Cuba,9/28/2020,5457,45,52.286,122,2,1.0,481.786,3.9730000000000003,4.6160000000000005,10.770999999999999,0.177,0.08800000000000001,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11326616,110.40799999999999,43.1,14.738,9.719,0.0,0.0,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.777,-80.8328748,23.0131338
46,CUW,North America,Curacao,9/28/2020,360,23,13.142999999999999,1,0,0.0,2193.784,140.158,80.09100000000001,6.093999999999999,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,164100,362.644,41.7,16.367,10.068,0.0,0.0,0.0,11.62,0.0,0.0,0.0,0.0,78.88,0.0,-68.9640875031406,12.1845
47,CYM,North America,Cayman Islands,9/28/2020,210,0,0.14300000000000002,1,0,0.0,3195.3740000000003,0.0,2.174,15.216,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,65720,256.496,0.0,0.0,0.0,49903.029,0.0,0.0,13.22,0.0,0.0,0.0,0.0,83.92,0.0,-80.5667132,19.5417212
48,CYP,Europe,Cyprus,9/28/2020,1696,12,13.714,22,0,0.0,1936.296,13.7,15.657,25.116999999999997,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,875899,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,0.0,141.171,9.24,19.6,52.7,0.0,3.4,80.98,0.8690000000000001,33.1451285,34.9823018
49,CZE,Europe,Czech Republic,9/28/2020,64597,1303,2193.857,606,15,14.714,6032.039000000001,121.67399999999999,204.861,56.588,1.401,1.374,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,10708982,137.17600000000002,43.3,19.027,11.58,32605.906000000003,0.0,227.485,6.82,30.5,38.3,0.0,6.63,79.38,0.888,15.4749544,49.8167003
50,DEU,Europe,Germany,9/28/2020,285332,1192,1856.4289999999999,9460,3,10.571,3405.5690000000004,14.227,22.156999999999996,112.90899999999999,0.036000000000000004,0.126,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,83783945,237.016,46.6,21.453000000000003,15.957,45229.245,0.0,156.139,8.31,28.2,33.1,0.0,8.0,81.33,0.9359999999999999,10.4234469,51.0834196
51,DJI,Africa,Djibouti,9/28/2020,5409,0,0.857,61,0,0.0,5474.685,0.0,0.868,61.74100000000001,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,0.0,1.4,67.11,0.47600000000000003,42.8453061,11.8145966
52,DMA,North America,Dominica,9/28/2020,24,0,0.0,0,0,0.0,333.375,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,71991,98.56700000000001,0.0,0.0,0.0,9673.367,0.0,227.37599999999998,11.62,0.0,0.0,0.0,3.8,75.0,0.715,-70.3028026,19.0974031
53,DNK,Europe,Denmark,9/28/2020,26637,424,684.2860000000001,649,1,2.0,4598.768,73.202,118.139,112.04700000000001,0.17300000000000001,0.345,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,0.0,2.5,80.9,0.929,10.3333283,55.670249
54,DOM,North America,Dominican Republic,9/28/2020,111386,429,442.42900000000003,2095,2,6.857,10267.974,39.547,40.785,193.125,0.184,0.632,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736,-70.3028026,19.0974031
55,DZA,Africa,Algeria,9/28/2020,51067,153,177.28599999999997,1714,3,6.0,1164.556,3.489,4.043,39.086999999999996,0.068,0.13699999999999998,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,43851043,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754,2.9999825,28.0000272
56,ECU,South America,Ecuador,9/28/2020,134747,766,1189.714,11279,6,27.0,7637.394,43.417,67.432,639.288,0.34,1.53,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,17643060,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752,-79.3666965,-1.3397668
57,EGY,Africa,Egypt,9/28/2020,102840,104,117.85700000000001,5883,14,16.143,1004.941,1.016,1.1520000000000001,57.488,0.13699999999999998,0.158,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696,29.2675469,26.2540493
58,ERI,Africa,Eritrea,9/28/2020,375,0,1.571,0,0,0.0,105.74,0.0,0.44299999999999995,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3546427,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,0.0,311.11,6.05,0.2,11.4,0.0,0.7,66.32,0.44,37.9999668,15.9500319
59,ESH,Africa,Western Sahara,9/28/2020,766,0,0.0,1,0,0.0,1282.373,0.0,0.0,1.6740000000000002,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,597330,0.0,28.4,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.26,0.0,-13.7667848,24.1797324
60,EST,Europe,Estonia,9/28/2020,3200,35,39.429,64,0,0.0,2412.292,26.384,29.723000000000003,48.246,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,0.0,4.69,78.74,0.871,25.3319078,58.7523778
61,ETH,Africa,Ethiopia,9/28/2020,73332,632,644.571,1170,5,10.571,637.872,5.497000000000001,5.607,10.177,0.043,0.092,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,114963583,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997,38.6521203,10.2116702
62,FIN,Europe,Finland,9/28/2020,9682,105,100.286,343,0,0.5710000000000001,1747.4270000000001,18.951,18.1,61.905,0.0,0.10300000000000001,142,975893,176.13099999999997,0.026000000000000002,6960,1.256,69.402,0.013999999999999999,samples tested,32.41,5540718,18.136,42.8,21.228,13.264000000000001,40585.721,0.0,153.507,5.76,18.3,22.6,0.0,3.28,81.91,0.92,25.9209164,63.2467777
63,FJI,Oceania,Fiji,9/28/2020,32,0,0.0,2,0,0.0,35.696999999999996,0.0,0.0,2.231,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,0.0,2.3,67.44,0.741,179.0122737,-18.1239696
64,FLK,South America,Falkland Islands,9/28/2020,13,0,0.0,0,0,0.0,3732.415,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44,0.0,-59.5500387,-51.9666424
65,FRA,Europe,France,9/28/2020,538569,11123,12115.143,31727,27,63.143,8250.958,170.40599999999998,185.606,486.06199999999995,0.414,0.9670000000000001,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,65273512,122.57799999999999,42.0,19.718,13.079,38605.671,0.0,86.06,4.77,30.1,35.6,0.0,5.98,82.66,0.9009999999999999,1.8883335,46.603354
