,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Longitude,Latitude
66,FRO,Europe,Faeroe Islands,9/28/2020,460,0,3.714,0,0,0.0,9413.690999999999,0.0,76.01100000000001,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,48865,35.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67,0.0,-6.817412433412175,62.19850045
67,GAB,Africa,Gabon,9/28/2020,8728,0,4.571000000000001,54,0,0.14300000000000002,3921.414,0.0,2.0540000000000003,24.261999999999997,0.0,0.064,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2225728,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,0.0,0.0,0.0,6.3,66.47,0.7020000000000001,11.6899699,-0.8999695
68,GBR,Europe,United Kingdom,9/28/2020,434969,5692,5816.0,41988,17,30.143,6407.344,83.846,85.67299999999999,618.507,0.25,0.444,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,67886004,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,0.0,2.54,81.32,0.922,-3.2765753,54.7023545
69,GEO,Asia,Georgia,9/28/2020,5552,298,265.286,28,0,1.143,1391.766,74.702,66.501,7.019,0.0,0.28600000000000003,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3989175,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,0.0,2.6,73.77,0.78,-83.1137366,32.3293809
70,GGY,Europe,Guernsey,9/28/2020,256,0,0.14300000000000002,13,0,0.0,3817.9320000000002,0.0,2.131,193.87900000000002,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,67052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.484854,49.580437
71,GHA,Africa,Ghana,9/28/2020,46387,165,54.714,299,0,0.28600000000000003,1492.842,5.31,1.761,9.623,0.0,0.009000000000000001,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,31072945,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001,-1.0800271,8.0300284
72,GIB,Europe,Gibraltar,9/28/2020,379,7,4.143,0,0,0.0,11249.295,207.771,122.96600000000001,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,33691,3457.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93,0.0,-5.3541295,36.140807
73,GIN,Africa,Guinea,9/28/2020,10580,32,36.429,66,0,0.28600000000000003,805.617,2.437,2.7739999999999996,5.026,0.0,0.022000000000000002,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,13132792,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,0.0,0.0,17.45,0.3,61.6,0.45899999999999996,-10.7083587,10.7226226
74,GMB,Africa,Gambia,9/28/2020,3569,14,6.143,111,1,0.429,1476.829,5.792999999999999,2.542,45.931000000000004,0.414,0.177,0,0,0.0,0.0,0,0.0,0.0,0.0,0,75.93,2416664,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46,-15.4900464,13.470062
75,GNB,Africa,Guinea-Bissau,9/28/2020,2324,0,3.0,39,0,0.0,1180.896,0.0,1.524,19.817,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,0.0,0.0,6.403,0.0,58.32,0.455,-14.9000214,12.100035
76,GNQ,Africa,Equatorial Guinea,9/28/2020,5028,0,3.714,83,0,0.0,3583.7870000000003,0.0,2.647,59.16,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1402985,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,0.0,202.812,7.78,0.0,0.0,24.64,2.1,58.74,0.591,10.5170357,1.613172
77,GRC,Europe,Greece,9/28/2020,17444,216,328.85699999999997,379,3,5.857,1673.5970000000002,20.723000000000003,31.551,36.361999999999995,0.28800000000000003,0.562,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,10423056,83.479,45.3,20.396,14.524000000000001,24574.382,1.5,175.695,4.55,35.3,52.0,0.0,4.21,82.24,0.87,21.9877132,38.9953683
78,GRD,North America,Grenada,9/28/2020,24,0,0.0,0,0,0.0,213.297,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,112519,317.132,29.4,7.303999999999999,5.021,13593.877,0.0,243.96400000000003,10.71,0.0,0.0,0.0,3.7,72.4,0.772,-61.6904045,12.1360374
79,GRL,North America,Greenland,9/28/2020,14,0,0.0,0,0,0.0,246.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,56772,0.13699999999999998,0.0,0.0,0.0,0.0,0.0,199.94099999999997,2.16,0.0,0.0,0.0,0.0,71.7,0.0,-42.8125967,77.6192349
80,GTM,North America,Guatemala,9/28/2020,90092,390,664.0,3229,16,15.714,5028.6990000000005,21.769000000000002,37.063,180.234,0.893,0.877,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,17915567,157.834,22.9,4.694,3.016,7423.808000000001,8.7,155.898,10.18,0.0,0.0,76.665,0.6,74.3,0.65,-89.8988087,15.6356088
81,GUM,Oceania,Guam,9/28/2020,2354,0,33.857,42,0,1.143,13946.902,0.0,200.59599999999998,248.84,0.0,6.771,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,168783,304.128,31.4,9.551,5.492999999999999,0.0,0.0,310.496,21.52,0.0,0.0,0.0,0.0,80.07,0.0,144.75755102972062,13.450125700000001
82,GUY,South America,Guyana,9/28/2020,2772,47,71.857,76,2,1.714,3524.211,59.754,91.35600000000001,96.62299999999999,2.543,2.1790000000000003,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,786559,3.952,26.3,5.305,2.8369999999999997,7435.047,0.0,373.159,11.62,0.0,0.0,77.15899999999999,1.6,69.91,0.654,-58.6416891,4.8417097
83,HND,North America,Honduras,9/28/2020,75109,561,499.0,2289,1,15.0,7583.238,56.64,50.381,231.105,0.10099999999999999,1.514,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,9904608,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,0.0,84.169,0.7,75.27,0.617,-86.0755145,15.2572432
84,HRV,Europe,Croatia,9/28/2020,16197,190,182.143,272,3,3.429,3945.4179999999997,46.282,44.368,66.256,0.731,0.835,3029,295998,72.102,0.738,4838,1.178,26.561999999999998,0.038,people tested,32.41,4105268,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,0.0,5.54,78.49,0.831,17.0118954,45.5643442
85,HTI,North America,Haiti,9/28/2020,8723,0,14.857000000000001,227,0,0.857,765.005,0.0,1.3030000000000002,19.908,0.0,0.075,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,11402533,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.5,430.548,6.65,2.9,23.1,22.863000000000003,0.7,64.0,0.498,-72.3570972,19.1399952
86,HUN,Europe,Hungary,9/28/2020,24716,702,835.7139999999999,749,13,9.0,2558.499,72.668,86.51,77.533,1.3459999999999999,0.932,7065,697473,72.2,0.731,10207,1.057,12.214,0.08199999999999999,tests performed,0.0,9660350,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,0.0,7.02,76.88,0.838,19.5060937,47.1817585
87,IDN,Asia,Indonesia,9/28/2020,285599,14260,5846.143,10386,78,119.0,1044.147,52.13399999999999,21.373,37.971,0.285,0.435,27637,1934863,7.074,0.10099999999999999,30955,0.113,5.295,0.18899999999999997,people tested,0.0,273523621,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,71.72,0.6940000000000001,117.8902853,-2.4833826
88,IMN,Europe,Isle of Man,9/28/2020,340,0,0.14300000000000002,24,0,0.0,3998.495,0.0,1.68,282.247,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,85032,147.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0,-4.514598745698255,54.2358167
89,IND,Asia,India,9/28/2020,6074702,82170,83874.571,95542,1039,1094.286,4401.944,59.543,60.778,69.233,0.753,0.7929999999999999,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1380004385,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,78.6677428,22.3511148
90,IRL,Europe,Ireland,9/28/2020,34990,430,293.857,1802,0,1.429,7086.156999999999,87.083,59.512,364.94,0.0,0.289,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4937796,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,0.0,2.96,82.3,0.938,-7.9794599,52.865196
91,IRN,Asia,Iran,9/28/2020,446448,3362,3472.571,25589,195,184.0,5315.303000000001,40.027,41.343999999999994,304.657,2.322,2.191,0,3932571,46.82,0.0,22753,0.271,6.5520000000000005,0.153,tests performed,0.0,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,0.0,1.5,76.68,0.7979999999999999,54.5643516,32.6475314
92,IRQ,Asia,Iraq,9/28/2020,349450,3481,4345.0,8990,55,62.143,8687.923,86.544,108.024,223.507,1.367,1.545,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,40222503,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,0.0,0.0,94.57600000000001,1.4,70.6,0.685,44.1749775,33.0955793
93,ISL,Europe,Iceland,9/28/2020,2623,22,39.571,10,0,0.0,7686.446999999999,64.469,115.96,29.304000000000002,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,0.0,2.91,82.99,0.935,-18.1059013,64.9841821
94,ISR,Asia,Israel,9/28/2020,231026,3926,6085.571,1466,25,30.0,26691.11,453.582,703.084,169.37099999999998,2.888,3.466,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,8655541,402.606,30.6,11.732999999999999,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,0.0,2.99,82.97,0.903,34.8667654,31.5313113
95,ITA,Europe,Italy,9/28/2020,309870,1766,1673.4289999999999,35835,17,18.285999999999998,5125.052,29.209,27.677,592.688,0.281,0.302,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,60461828,205.859,47.9,23.021,16.24,35220.084,2.0,113.15100000000001,4.78,19.8,27.8,0.0,3.18,83.51,0.88,12.674297,42.6384261
96,JAM,North America,Jamaica,9/28/2020,5993,164,143.571,89,1,3.1430000000000002,2023.868,55.38399999999999,48.485,30.055999999999997,0.33799999999999997,1.061,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2961161,266.879,31.4,9.684,6.39,8193.571,0.0,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732,-77.1598454610168,18.1152958
97,JEY,Europe,Jersey,9/28/2020,400,0,1.0,32,0,0.0,3957.5359999999996,0.0,9.894,316.603,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,101073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1255999596428845,49.21230655
98,JOR,Asia,Jordan,9/28/2020,8492,431,530.429,45,2,2.1430000000000002,832.293,42.242,51.986999999999995,4.41,0.196,0.21,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,10203140,109.285,23.2,3.81,2.3609999999999998,8337.49,0.1,208.257,11.75,0.0,0.0,0.0,1.4,74.53,0.735,36.941628,31.1667049
99,JPN,Asia,Japan,9/28/2020,82131,441,496.286,1548,3,6.857,649.378,3.487,3.924,12.239,0.024,0.054000000000000006,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,126476458,347.778,48.2,27.049,18.493,39002.223,0.0,79.37,5.72,11.2,33.7,0.0,13.05,84.63,0.909,139.2394179,36.5748441
100,KAZ,Asia,Kazakhstan,9/28/2020,140265,90,258.57099999999997,2049,1,4.857,7470.16,4.793,13.770999999999999,109.125,0.053,0.259,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,18776707,6.681,30.6,6.9910000000000005,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.8,65.2093197,47.2286086
101,KEN,Africa,Kenya,9/28/2020,38115,244,162.0,691,2,6.143,708.835,4.538,3.013,12.850999999999999,0.037000000000000005,0.114,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,53771300,87.324,20.0,2.6860000000000004,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59,38.4313975,1.4419683
102,KGZ,Asia,Kyrgyzstan,9/28/2020,46355,104,126.286,1064,1,0.14300000000000002,7105.095,15.940999999999999,19.357,163.085,0.153,0.022000000000000002,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6524191,32.333,26.3,4.489,2.8819999999999997,3393.474,1.4,436.36199999999997,7.11,3.6,50.5,89.22,4.5,71.45,0.672,74.724091,41.5089324
103,KHM,Asia,Cambodia,9/28/2020,276,0,0.14300000000000002,0,0,0.0,16.508,0.0,0.009000000000000001,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,16718971,90.67200000000001,25.6,4.412,2.385,3645.07,0.0,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.5820000000000001,104.869423,13.5066394
104,KNA,North America,Saint Kitts and Nevis,9/28/2020,19,0,0.28600000000000003,0,0,0.0,357.19699999999995,0.0,5.371,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,53192,212.865,0.0,0.0,0.0,24654.385,0.0,0.0,12.84,0.0,0.0,0.0,2.3,76.23,0.778,-62.6725973,17.250512
105,KOR,Asia,South Korea,9/28/2020,23661,50,88.0,406,5,3.0,461.505,0.975,1.716,7.919,0.098,0.059000000000000004,5077,2282716,44.523999999999994,0.099,10523,0.205,119.58,0.008,people tested,0.0,51269183,527.967,43.4,13.914000000000001,8.622,35938.373999999996,0.2,85.99799999999999,6.8,6.2,40.9,0.0,12.27,83.03,0.903,127.6961188,36.638392
106,KWT,Asia,Kuwait,9/28/2020,103544,345,587.143,601,4,2.4290000000000003,24245.982999999997,80.786,137.486,140.731,0.937,0.569,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4270563,232.128,33.7,2.345,1.114,65530.537000000004,0.0,132.235,15.84,2.7,37.0,0.0,2.0,75.49,0.8029999999999999,47.4979476,29.2733964
107,LAO,Asia,Laos,9/28/2020,23,0,0.0,0,0,0.0,3.161,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.601,103.378253,20.0171109
108,LBN,Asia,Lebanon,9/28/2020,36254,1012,993.0,347,7,7.143,5311.597,148.269,145.485,50.839,1.026,1.047,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6825442,594.561,31.1,8.514,5.43,13367.565,0.0,266.591,12.71,26.9,40.7,0.0,2.9,78.93,0.757,35.843409,33.8750629
109,LBR,Africa,Liberia,9/28/2020,1339,1,0.5710000000000001,82,0,0.0,264.746,0.198,0.113,16.213,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,5057677,49.126999999999995,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435,-9.3658524,5.7499721
110,LBY,Africa,Libya,9/28/2020,32364,536,630.714,520,21,11.714,4710.035,78.006,91.79,75.67699999999999,3.056,1.705,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6871287,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,0.0,341.86199999999997,10.43,0.0,0.0,0.0,3.7,72.91,0.706,18.1236723,26.8234472
111,LCA,North America,Saint Lucia,9/28/2020,27,0,0.0,0,0,0.0,147.036,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,183629,293.187,34.9,9.721,6.405,12951.839,0.0,204.62,11.62,0.0,0.0,87.20200000000001,1.3,76.2,0.747,-60.975036,13.8250489
112,LIE,Europe,Liechtenstein,9/28/2020,117,0,0.7140000000000001,1,0,0.0,3067.887,0.0,18.729,26.221,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,38137,237.012,0.0,0.0,0.0,0.0,0.0,0.0,7.77,0.0,0.0,0.0,2.397,82.49,0.9159999999999999,9.5531527,47.1416307
113,LKA,Asia,Sri Lanka,9/28/2020,3360,11,10.429,13,0,0.0,156.912,0.514,0.48700000000000004,0.607,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,21413250,341.955,34.1,10.068999999999999,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,0.0,3.6,76.98,0.77,80.7137847,7.5554942
114,LSO,Africa,Lesotho,9/28/2020,1558,0,19.143,35,0,0.28600000000000003,727.2719999999999,0.0,8.936,16.338,0.0,0.133,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,0.0,54.33,0.52,28.3350193,-29.6039267
115,LTU,Europe,Lithuania,9/28/2020,4385,90,91.571,91,2,0.5710000000000001,1610.776,33.06,33.638000000000005,33.428000000000004,0.735,0.21,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2722291,45.135,43.5,19.002,13.777999999999999,29524.265,0.7,342.98900000000003,3.67,21.3,38.0,0.0,6.56,75.93,0.858,23.7499997,55.3500003
116,LUX,Europe,Luxembourg,9/28/2020,8357,46,79.0,124,0,0.0,13350.351999999999,73.485,126.20299999999999,198.09099999999998,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,625976,231.447,39.7,14.312000000000001,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,0.0,4.51,82.25,0.904,6.1296751,49.8158683
117,LVA,Europe,Latvia,9/28/2020,1676,22,21.570999999999998,36,0,0.0,888.558,11.664000000000001,11.436,19.086,0.0,0.0,1398,312230,165.53400000000002,0.741,2262,1.199,104.861,0.01,tests performed,0.0,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,0.0,5.57,75.29,0.847,24.7537645,56.8406494
118,MAR,Africa,Morocco,9/28/2020,117685,2444,2277.429,2069,28,34.143,3188.383,66.214,61.701,56.053999999999995,0.759,0.925,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,36910558,80.08,29.6,6.769,4.209,7485.013000000001,1.0,419.14599999999996,7.14,0.8,47.1,0.0,1.1,76.68,0.667,-7.3362482,31.1728205
119,MCO,Europe,Monaco,9/28/2020,210,0,2.4290000000000003,1,0,0.0,5351.1359999999995,0.0,61.88399999999999,25.482,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,39244,19347.5,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,13.8,86.75,0.0,7.4276832,43.7323492
120,MDA,Europe,Moldova,9/28/2020,50875,341,611.286,1287,8,12.0,12611.667,84.53200000000001,151.535,319.041,1.983,2.975,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.50199999999995,5.72,5.9,44.6,86.979,5.8,71.9,0.7,28.5670941,47.2879608
121,MDG,Africa,Madagascar,9/28/2020,16285,28,33.143,229,0,0.857,588.097,1.011,1.197,8.27,0.0,0.031,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,0.0,0.0,50.54,0.2,67.04,0.519,46.4416422,-18.9249604
122,MDV,Asia,Maldives,9/28/2020,10098,53,53.428999999999995,34,0,0.14300000000000002,18681.25,98.05,98.84299999999999,62.9,0.0,0.264,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,540542,1454.433,30.6,4.12,2.875,15183.616000000002,0.0,164.905,9.19,2.1,55.0,95.803,0.0,78.92,0.7170000000000001,73.3287853,4.7064352
123,MEX,North America,Mexico,9/28/2020,730317,3886,4664.857,76430,187,419.57099999999997,5664.325,30.14,36.181,592.79,1.45,3.2539999999999996,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,128932753,66.444,29.3,6.857,4.321000000000001,17336.468999999997,2.5,152.783,13.06,6.9,21.4,87.84700000000001,1.38,75.05,0.774,-99.1331785,19.4326296
124,MKD,Europe,Macedonia,9/28/2020,17629,146,127.714,725,3,4.571000000000001,8461.73,70.078,61.301,347.99199999999996,1.44,2.194,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2083380,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,0.0,0.0,0.0,4.28,75.8,0.757,21.7168387,41.6171214
125,MLI,Africa,Mali,9/28/2020,3086,6,10.429,130,0,0.28600000000000003,152.389,0.29600000000000004,0.515,6.419,0.0,0.013999999999999999,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,20250834,15.196,16.4,2.519,1.486,2014.306,0.0,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.42700000000000005,-2.2900239,16.3700359
126,MLT,Europe,Malta,9/28/2020,2929,0,28.285999999999998,29,0,1.286,6633.616,0.0,64.062,65.679,0.0,2.912,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,441539,1454.037,42.4,19.426,11.324000000000002,36513.323,0.2,168.71099999999998,8.83,20.9,30.2,0.0,4.485,82.53,0.878,14.4476911,35.8885993
127,MMR,Asia,Myanmar,9/28/2020,10734,743,704.143,226,28,18.857,197.28099999999998,13.655999999999999,12.940999999999999,4.154,0.515,0.34700000000000003,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.28699999999999,0.9,67.13,0.578,95.9999652,17.1750495
128,MNE,Europe,Montenegro,9/28/2020,10313,116,243.0,158,0,3.1430000000000002,16420.353,184.695,386.904,251.56799999999998,0.0,5.004,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,628062,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,0.0,3.861,76.88,0.8140000000000001,19.5180992,42.9868853
129,MNG,Asia,Mongolia,9/28/2020,313,0,0.14300000000000002,0,0,0.0,95.477,0.0,0.044000000000000004,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3278292,1.98,28.6,4.031000000000001,2.421,11840.846000000001,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.741,103.8499736,46.8250388
130,MNP,Oceania,Northern Mariana Islands,9/28/2020,70,1,0.14300000000000002,2,0,0.0,1216.1860000000001,17.374000000000002,2.4819999999999998,34.748000000000005,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,57557,119.87799999999999,0.0,0.0,0.0,0.0,0.0,194.99400000000003,0.0,0.0,0.0,0.0,0.0,76.74,0.0,145.21345248318923,14.149020499999999
131,MOZ,Africa,Mozambique,9/28/2020,7983,226,173.143,58,4,2.1430000000000002,255.412,7.231,5.54,1.8559999999999999,0.128,0.069,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.94199999999995,3.3,5.1,29.1,12.227,0.7,60.85,0.43700000000000006,34.9144977,-19.302233
132,MRT,Africa,Mauritania,9/28/2020,7462,5,13.429,161,0,0.0,1604.849,1.075,2.888,34.626,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4649660,4.289,20.3,3.138,1.7919999999999998,3597.633,6.0,232.347,2.42,0.0,0.0,15.95,0.0,64.92,0.52,-9.2399263,20.2540382
133,MSR,North America,Montserrat,9/28/2020,13,0,0.0,1,0,0.0,2600.52,0.0,0.0,200.04,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16,0.0,-62.1916844,16.7417041
134,MUS,Africa,Mauritius,9/28/2020,367,0,0.0,10,0,0.0,288.575,0.0,0.0,7.8629999999999995,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1271767,622.962,37.4,10.945,5.8839999999999995,20292.745,0.5,224.644,22.02,3.2,40.7,0.0,3.4,74.99,0.79,57.5703566,-20.2759451
135,MWI,Africa,Malawi,9/28/2020,5768,5,5.2860000000000005,179,0,0.0,301.517,0.261,0.276,9.357000000000001,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,54.63,19129955,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,71.4,227.34900000000002,3.94,4.4,24.7,8.704,1.3,64.26,0.47700000000000004,33.9301963,-13.2687204
